x0000,y0000
300.,105.4414934815
300.1709401709,102.9352703916
300.3418803419,104.0720311373
300.5128205128,101.2685885154
300.6837606838,109.2123247575
300.8547008547,109.4160960269
301.0256410256,106.5101423421
301.1965811966,108.5268000293
301.3675213675,106.4128889846
301.5384615385,104.3362314871
301.7094017094,101.5042225170
301.8803418803,101.4375249619
302.0512820513,108.7121943770
302.2222222222,105.3544046674
302.3931623932,104.8495761967
302.5641025641,102.4039144957
302.7350427350,100.3919241614
302.905982906,106.8806775576
303.0769230769,106.4658890601
303.2478632479,101.5047093304
303.4188034188,102.3364626739
303.5897435897,103.3785482390
303.7606837607,101.0200678259
303.9316239316,104.684289926
304.1025641026,106.5023350698
304.2735042735,107.8802919132
304.4444444444,105.9199979210
304.6153846154,106.7031682436
304.7863247863,105.8217135173
304.9572649573,106.0776782278
305.1282051282,103.7945227562
305.2991452991,108.2136512924
305.4700854701,104.3762056787
305.6410256410,107.3033580640
305.811965812,104.3388625579
305.9829059829,100.1348604176
306.1538461538,105.4519202516
306.3247863248,104.335495491
306.4957264957,101.8697535303
306.6666666667,101.4067877169
306.8376068376,107.4136448128
307.0085470085,106.4606505977
307.1794871795,104.431185018
307.3504273504,109.7103192043
307.5213675214,100.8137571922
307.6923076923,105.3722891743
307.8632478632,103.5564353359
308.0341880342,108.7914676046
308.2051282051,101.1326434601
308.3760683761,101.1220372210
308.5470085470,108.9152512575
308.7179487179,109.8358835051
308.8888888889,102.8135250924
309.0598290598,102.7620175788
309.2307692308,109.1372866821
309.4017094017,102.8727147383
309.5726495726,103.8108782795
309.7435897436,107.5796244928
309.9145299145,102.0197461853
310.0854700855,100.0894216042
310.2564102564,101.4419571444
310.4273504274,100.1970005735
310.5982905983,108.6261922199
310.7692307692,106.4370988669
310.9401709402,108.4706011361
311.1111111111,103.6415352301
311.2820512821,108.1396349315
311.452991453,109.839346709
311.6239316239,104.7708810739
311.7948717949,107.9729167204
311.9658119658,107.0425473395
312.1367521368,108.9101696802
312.3076923077,101.6521029198
312.4786324786,109.321439858
312.6495726496,106.3741538629
312.8205128205,107.3970493723
312.9914529915,104.4450442285
313.1623931624,108.5637987054
313.3333333333,109.5010494014
313.5042735043,108.965848035
313.6752136752,102.9566288623
313.8461538462,108.3631131477
314.0170940171,106.7302930287
314.1880341880,104.9970561413
314.358974359,101.1656645438
314.5299145299,106.1712095624
314.7008547009,109.9634422921
314.8717948718,108.9207150052
315.0427350427,103.6076892019
315.2136752137,102.3078567684
315.3846153846,101.3384569936
315.5555555556,107.2120296789
315.7264957265,108.3036876482
315.8974358974,109.6082243662
316.0683760684,101.3728236462
316.2393162393,106.7512016809
316.4102564103,105.0796683063
316.5811965812,103.1718673953
316.7521367521,107.8240716748
316.9230769231,103.0693738091
317.0940170940,109.4885034195
317.264957265,108.6056587534
317.4358974359,103.8498642830
317.6068376068,107.9937827104
317.7777777778,106.9276397169
317.9487179487,106.6956577045
318.1196581197,109.6958077227
318.2905982906,106.2250766343
318.4615384615,102.1368111391
318.6324786325,109.4200874376
318.8034188034,101.5480868339
318.9743589744,109.6863905096
319.1452991453,101.9594857141
319.3162393162,102.0343928271
319.4871794872,100.8054100096
319.6581196581,101.3423577947
319.8290598291,108.8984945499
320.,104.8416692911
320.1709401709,106.2272664043
320.3418803419,109.4055450206
320.5128205128,105.2925634944
320.6837606838,104.5433029841
320.8547008547,102.1986348434
321.0256410256,107.8366446363
321.1965811966,105.5001491462
321.3675213675,106.2512827795
321.5384615385,105.193509446
321.7094017094,109.6414536588
321.8803418803,104.3053497142
322.0512820513,103.8475915849
322.2222222222,109.5680303763
322.3931623932,108.4939738318
322.5641025641,101.7150467380
322.7350427350,102.5041794935
322.905982906,100.4871871408
323.0769230769,106.9602372402
323.2478632479,100.3074412662
323.4188034188,100.2904196491
323.5897435897,105.6946292614
323.7606837607,109.1403495959
323.9316239316,109.2898063067
324.1025641026,104.1370627848
324.2735042735,105.2469436178
324.4444444444,101.1610602003
324.6153846154,108.1683398996
324.7863247863,105.9506850359
324.9572649573,100.8661408492
325.1282051282,108.8457403726
325.2991452991,107.5577087482
325.4700854701,107.3528579701
325.6410256410,108.2665855852
325.811965812,102.2483707124
325.9829059829,101.8925857181
326.1538461538,102.0769278405
326.3247863248,103.6431162175
326.4957264957,104.7328306976
326.6666666667,109.4302930613
326.8376068376,100.9186928751
327.0085470085,100.9850422871
327.1794871795,103.1570595241
327.3504273504,105.1173825855
327.5213675214,101.1981691076
327.6923076923,103.3124159313
327.8632478632,106.4616651813
328.0341880342,101.0160181974
